moteino

Pin, Type, Name, Side
1, in, RST, left
2, in, D2, left
3, in, D3~, left
4, in, D4, left
5, in, D5~, left
6, in, D6~, left
7, in, D7, left
8, in, D8, left
9, in, D9~, left
10, in, D10~, left
11, in, D11~_MO, left
12, in, D12_MI, left
13, in, D13_SCK, left
14, in, A0, right
15, in, A1, right
16, in, A2, right
17, in, A3, right
18, in, A4_SDA, right
19, in, A5_SCL, right
20, in, D0_RX, right
21, in, D1_TX, right
22, power_in, 3v3, right
23, power_in, VIN, right
24, power_in, GND, right
30, power_in, GND, top
29, nc, NC, top
28, power_in, PWR, top
27, in, RX, top
26, in, TX, top
25, in, DTR/RTS, top
